"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"WHOHIVAdaptationKitModel","","","",0,*,"","","","","Base for all elements","Base definition for all elements in a resource.","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"WHOHIVAdaptationKitModel.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"WHOHIVAdaptationKitModel.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"WHOHIVAdaptationKitModel.patient","","","",1,*,"","","","BackboneElement {[]} {[]}
","Patient","Patient info","","","","","","","","","",,,,,"",,,,"WHOHIVAdaptationKitModel.patient",1,*,"",""
"WHOHIVAdaptationKitModel.patient.name","","","",1,*,"","","","HumanName {[]} {[]}
","Patient's name","Patient's name","","","","","","","","","",,,,,"",,,,"WHOHIVAdaptationKitModel.patient.name",1,*,"",""
"WHOHIVAdaptationKitModel.patient.identification","","","",1,1,"","","","BackboneElement {[]} {[]}
","Patient identification","Patient Identification","","","","","","","","","",,,,,"",,,,"WHOHIVAdaptationKitModel.patient.identification",1,1,"",""
"WHOHIVAdaptationKitModel.patient.identification.uniqueId","","","",1,1,"","","","string {[]} {[]}
","Unique ID","Unique identifier generated for new clients or a universal ID, if used in the country.","","","","","","","","","",,,,,"",,,,"WHOHIVAdaptationKitModel.patient.identification.uniqueId",1,1,"",""
"WHOHIVAdaptationKitModel.patient.identification.nationalId","","","",0,1,"","","","string {[]} {[]}
","National ID","National unique identifier assigned to the client, if used in the country.","","","","","","","","","",,,,,"",,,,"WHOHIVAdaptationKitModel.patient.identification.nationalId",0,1,"",""
"WHOHIVAdaptationKitModel.patient.identification.nationalHealthId","","","",0,1,"","","","string {[]} {[]}
","National health ID","National health unique identifier assigned to the client, if used in the country.","","","","","","","","","",,,,,"",,,,"WHOHIVAdaptationKitModel.patient.identification.nationalHealthId",0,1,"",""
"WHOHIVAdaptationKitModel.patient.identification.nationalProgramId","","","",0,1,"","","","string {[]} {[]}
","National program ID","National program unique identifier assigned to the client, if used in the country.","","","","","","","","","",,,,,"",,,,"WHOHIVAdaptationKitModel.patient.identification.nationalProgramId",0,1,"",""
"WHOHIVAdaptationKitModel.patient.identification.nationalHealthInsuranceId","","","",0,1,"","","","string {[]} {[]}
","National health insurance ID","National health insurance unique identifier assigned to the client, if used in the country.","","","","","","","","","",,,,,"",,,,"WHOHIVAdaptationKitModel.patient.identification.nationalHealthInsuranceId",0,1,"",""
"WHOHIVAdaptationKitModel.patient.countryOfBirth","","","",1,1,"","","","code {[]} {[]}
","Country of birth","Country where the client was born","","","","","","","","","",,,,,"",,,,"WHOHIVAdaptationKitModel.patient.countryOfBirth",1,1,"",""
"WHOHIVAdaptationKitModel.patient.dateOfBirth","","","",0,1,"","","","date {[]} {[]}
","Date of birth ","The client's date of birth (DOB) if known.","","","","","","","","","",,,,,"",,,,"WHOHIVAdaptationKitModel.patient.dateOfBirth",0,1,"",""
"WHOHIVAdaptationKitModel.patient.dateOfBirthUnknown","","","",0,1,"","","","boolean {[]} {[]}
","Date of birth unknown","Select this if the client's DOB is unknown.","","","","","","","","","",,,,,"",,,,"WHOHIVAdaptationKitModel.patient.dateOfBirthUnknown",0,1,"",""
"WHOHIVAdaptationKitModel.patient.age","","","",0,1,"","","","SimpleQuantity {[]} {[]}
","Age","Calculated age (number of years) of the client based on date of birth","","","","","","","","","",,,,,"",,,,"WHOHIVAdaptationKitModel.patient.age",0,1,"",""
"WHOHIVAdaptationKitModel.patient.estimatedAge","","","",0,1,"","","","SimpleQuantity {[]} {[]}
","Estimated age","If DOB is unknown, enter the client's estimated age. Display client's age in number of years.","","","","","","","","","",,,,,"",,,,"WHOHIVAdaptationKitModel.patient.estimatedAge",0,1,"",""
"WHOHIVAdaptationKitModel.patient.gender","","","",1,1,"","","","code {[]} {[]}
","Patient gender","Patient gender","","","","","","","","","",,"required","","VSPatientGender","",,,,"WHOHIVAdaptationKitModel.patient.gender",1,1,"",""
"WHOHIVAdaptationKitModel.patient.genderIdentity","","","",0,1,"","","","code {[]} {[]}
","Gender identity","The gender that the client identifies with","","","","","","","","","",,"required","","VSPatientGenderIdentity","",,,,"WHOHIVAdaptationKitModel.patient.genderIdentity",0,1,"",""
"WHOHIVAdaptationKitModel.patient.address","","","",1,1,"","","","string {[]} {[]}
","Address","Client's home address or address at which the client is consenting to disclose","","","","","","","","","",,,,,"",,,,"WHOHIVAdaptationKitModel.patient.address",1,1,"",""
"WHOHIVAdaptationKitModel.patient.telephoneNumber","","","",1,1,"","","","string {[]} {[]}
","Telephone Number","Can be a landline or a mobile phone number","","","","","","","","","",,,,,"",,,,"WHOHIVAdaptationKitModel.patient.telephoneNumber",1,1,"",""
"WHOHIVAdaptationKitModel.patient.administrativeArea","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Administrative Area","This should be a context-specific list of administrative areas, such as villages, districts, etc. The purpose of this data element is to allow for grouping and flagging of client data to a particular facility's catchment area. This can be input into the system by the end user OR it can be automated in the database based on the end user's attributes","","","","","","","","","",,,,,"",,,,"WHOHIVAdaptationKitModel.patient.administrativeArea",1,1,"",""
"WHOHIVAdaptationKitModel.patient.communicationConsent","","","",0,1,"","","","boolean {[]} {[]}
","Communication Consent","Indication that client gave consent to be contacted","","","","","","","","","",,,,,"",,,,"WHOHIVAdaptationKitModel.patient.communicationConsent",0,1,"",""
"WHOHIVAdaptationKitModel.patient.reminderMessages","","","",0,1,"","","","boolean {[]} {[]}
","Reminder messages","Whether client wants to receive text or other messages as follow-up for family planning","","","","","","","","","",,,,,"",,,,"WHOHIVAdaptationKitModel.patient.reminderMessages",0,1,"",""
"WHOHIVAdaptationKitModel.patient.communicationPreferences","","","",0,1,"","","","code {[]} {[]}
","Communication preference(s)","text-message | voice-call","","","","","","","","","",,,,,"",,,,"WHOHIVAdaptationKitModel.patient.communicationPreferences",0,1,"",""
"WHOHIVAdaptationKitModel.patient.email","","","",0,1,"","","","string {[]} {[]}
","Client's E-mail","Client's primary email account where the client can be contacted","","","","","","","","","",,,,,"",,,,"WHOHIVAdaptationKitModel.patient.email",0,1,"",""
